ibge,codigoInterno
2700102,1
1300029,1
3523909,1
2900108,1
1200013,1
2300101,1
5300108,1
3523909,1
5200050,1
3100104,1
3523909,1
2100055,1
1500107,1
2500106,1
2200053,1
5100102,1
2400109,1
4200051,1
3523909,1
3523909,1
3500105,1
1400050,1
4300034,1
2600054,1
3523909,1
3523909,1
3523909,1
1700251,1
2700201,2
1300060,2
1600105,2
2900207,2
1200054,2
3523909,2
3523909,2
3200102,2
5200100,2
3100203,2
5000203,2
2100105,2
2500205,2
2600104,2
2400208,2
4200101,2
4100103,2
3523909,2
3523909,2
3500204,2
2800100,2
1400027,2
3523909,2
2200103,2
1700301,2
1500131,2
5100201,2
3523909,2
2700300,3
1300086,3
2900306,3
1200104,3
2300150,3
3523909,3
3523909,3
5200134,3
2100154,3
1500206,3
2500304,3
2200202,3
2600203,3
3523909,3
4200200,3
3523909,3
3523909,3
3523909,3
3523909,3
2800209,3
1400100,3
4300059,3
3523909,3
3523909,3
3523909,3
1700350,3
2400307,3
3523909,3
2700409,4
1300102,4
1600204,4
2900355,4
1200138,4
2300200,4
5300108,4
3200169,4
5200159,4
3523909,4
5000252,4
2100204,4
1500305,4
2500403,4
2200251,4
2600302,4
3523909,4
2400406,4
4200309,4
3523909,4
3523909,4
2800308,4
1400159,4
3523909,4
1100403,4
1700400,4
3523909,4
3523909,4
3523909,5
1300144,5
3523909,5
1200179,5
2300309,5
3513405,5
3200136,5
3100302,5
3523909,5
3523909,5
2500502,5
2200277,5
3523909,5
2400505,5
4200408,5
3523909,5
3500303,5
2800407,5
1400175,5
4300109,5
5200175,5
2100303,5
3523909,5
3523909,5
2500734,5
1700707,5
3523909,5
3523909,5
3523909,6
3523909,6
1300201,6
1600212,6
1200203,6
3523909,6
5300108,6
3523909,6
5200209,6
3523909,6
5000609,6
2100402,6
1500347,6
2500536,6
2200301,6
2600401,6
2400604,6
3523909,6
4100202,6
1100023,6
3523909,6
3500402,6
1400209,6
4300208,6
3523909,6
2800506,6
3523909,6
3523909,6
3523909,7
1300300,7
1600238,7
1200252,7
3523909,7
3517703,7
3200201,7
5200258,7
3100401,7
2100436,7
2500577,7
2200400,7
2600500,7
3523909,7
3523909,7
2400703,7
3523909,7
1100452,7
3300100,7
3500501,7
2800506,7
1400233,7
3523909,7
3523909,7
3523909,7
3523909,7
3523909,7
1701002,7
3523909,8
3523909,8
1300409,8
1200302,8
3523909,8
3523909,8
3200300,8
5200308,8
3100500,8
1500404,8
3523909,8
2500601,8
2200459,8
3523909,8
3523909,8
3523909,8
4200507,8
2800605,8
1100031,8
1400282,8
4300307,8
2100477,8
1600253,8
3523909,8
1701051,8
2400802,8
3500550,8
9999999,8
3523909,9
1300508,9
1600279,9
1200328,9
3523909,9
3523909,9
3523909,9
5200506,9
3523909,9
2100501,9
3523909,9
5000708,9
2500734,9
2200509,9
5100250,9
3523909,9
2400901,9
4200556,9
3300159,9
3500600,9
3523909,9
1100601,9
1400308,9
4300406,9
2700508,9
2600609,9
1701101,9
2700607,10
3523909,10
1300607,10
3523909,10
1200336,10
2300408,10
3523909,10
3523909,10
2100550,10
1500503,10
2500775,10
2200608,10
3523909,10
5100300,10
2401008,10
4200606,10
3300209,10
3500709,10
1400407,10
4300455,10
1100049,10
3523909,10
3523909,10
2800670,10
5000807,10
3523909,10
3523909,10
2700706,11
1300631,11
1600303,11
1200344,11
3523909,11
3523909,11
3523909,11
5200555,11
3100609,11
2100600,11
3523909,11
5000856,11
2500809,11
2200707,11
3523909,11
3523909,11
2401107,11
3523909,11
3300225,11
3523909,11
2800704,11
3523909,11
1400456,11
3523909,11
3523909,11
3523909,11
5100359,11
3523909,12
1300680,12
1600402,12
1200351,12
3523909,12
2300507,12
5217609,12
3200359,12
5200605,12
3523909,12
2100709,12
3523909,12
2500908,12
2200806,12
2600708,12
3523909,12
2401206,12
3523909,12
3523909,12
3523909,12
2801009,12
1100700,12
1400472,12
3523909,12
1701309,12
3300233,12
3523909,12
3523909,13
1300706,13
1200385,13
2700805,13
3523909,13
3523909,13
3523909,13
3100708,13
1500602,13
5000906,13
2501005,13
2200905,13
2600807,13
5100409,13
4200705,13
3300258,13
3500758,13
2801108,13
1100809,13
1400506,13
4300505,13
5200803,13
2100808,13
3523909,13
1701903,13
3523909,13
2401404,13
1300805,14
1600501,14
1200807,14
2700904,14
3523909,14
3523909,14
3200409,14
5200829,14
3523909,14
3523909,14
3523909,14
2501104,14
2201002,14
3523909,14
4100301,14
3523909,14
3523909,14
3523909,14
3523909,14
1400605,14
4300554,14
1100908,14
3523909,14
2600906,14
2801207,14
5001003,14
1702000,14
2900405,15
1300839,15
3523909,15
1200393,15
2300606,15
3523909,15
3523909,15
5200852,15
3100807,15
2100832,15
3523909,15
5001102,15
2501153,15
2201051,15
3523909,15
3523909,15
2401453,15
4200754,15
3523909,15
2801306,15
1100056,15
1400704,15
4300554,15
3523909,15
1702109,15
5100508,15
3523909,15
3523909,16
3523909,16
1600535,16
3523909,16
1200401,16
2701001,16
2409332,16
5200902,16
3523909,16
2300705,16
2100873,16
5001243,16
2501203,16
2201101,16
2601003,16
